COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;QUERY;NOTE
M2OP003004;SDA - STRUMENTI ATTUAZIONE DIRETTA - PON LegalitÃ ;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_MET_GE;Genova - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
SAD_METADG;AdG - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;0;
3;Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;0;
CC09;Caratterizzazione e bonifica dei siti inquinati;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CC10;Depurazione delle acque;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CCMT;Piano degli Interventi per la sistemazione idrogeologica ed idraulica degli alvei;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CCEC;Difesa del suolo - Erosione delle Coste;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CCKR;Valorizzazione area archeologica antica Kroton;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
PAC;Programma PAC;STRUMENTI DI ATTUAZIONE DIRETTA;0;
1;PROGRAMMA OPERATIVO;STRUMENTI DI ATTUAZIONE DIRETTA;0;
CC02;Infrastrutture strategiche per il settore stradale;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CCIN;Delibera CIPE 89/2012 - Infrastrutture;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CC08;Sistema universitario;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CCFV;Attuazione Delibera CIPE 8/2012 - Frane e Versanti;STRUMENTI DI ATTUAZIONE DIRETTA;0;
CCSA;I Atto integrativo all'APQ Piano degli interventi per la sistemazione idrogeologica ed idraulica degli alvei;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
CC05;Schemi Idrici e acquedotti;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
FESRCL2007;POR Calabria FESR 2007-2013;STRUMENTI ATTUAZIONE DIRETTA;0;
CCFV;Attuazione Delibera CIPE 8/2012 - Frane e Versanti;STRUMENTI ATTUAZIONE DIRETTA;0;
CCEC;Difesa del suolo - Erosione delle Coste;STRUMENTI ATTUAZIONE DIRETTA;0;
CALABRIA1;PATTO PER LA CALABRIA;STRUMENTI ATTUAZIONE DIRETTA;0;
IPR;Interventi programmazione regionale;STRUMENTI ATTUAZIONE DIRETTA;0;
PATTOMIL;PATTO PER LA CITTA' DI MILANO;STRUMENTI ATTUAZIONE DIRETTA;0;
PROG_CSBT;PROGRAMMA DI MISURE PER LA BONIFICA, AMBIENTALIZZAZIONE E RIQUALIFICAZIONE DI TARANTO - CIS TARANTO (art. 6 L. 20/2015);CONTRATTI ISTITUZIONALI DI SVILUPPO;0;
RL;2014IT05SFOP006  - POR Liguria FSE;STRUMENTI ATTUAZIONE DIRETTA;0;
LO05;Convenzione per l'acquisto e la gestione di materiale rotabile per il servizio ferroviario regionale.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO08;"Convenzione per la valorizzazione dei beni culturali attraverso la realizzazione di attivitÃÂ  di spettacolo - progetto triennale 2007-2009 ""Oltre il Palcoscenico - Next 2009"".";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO10;APQ Interregionale per la realizzazione della residenza universitaria e della scuola primaria nella cittÃÂ  di L'Aquila.;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
LO09;"Convenzione per la realizzazione della manifestazione ""Music Across"".";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO16;"Avviso Contributi ""Ammodernamento dotazioni laboratoriali Ist. formative iscritte Sezione A Albo reg.  operatori accreditati Servizi IFP"" e Ist. Tec. Prof. statali che erogano percorsi di IFP IIÃÂ° c";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO17;"Invito Presentazione progetti di recupero immobili da destinare a Ostelli in attuazione Programma reg. ""Nuova generazione di idee"". Le politiche e le linee di intervento per giovani Reg. Lombardia.";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO01;"APQ Interregionale per la realizzazione di un call center cd ""laico""per la sperimentazione del NUE 112 presso le centrali operative del servizio sanitario emergenza urgenza di Varese,Ravenna e Palermo";ACCORDO DI PROGRAMMA QUADRO (APQ);0;
LO03;"Delibera di Giunta regionale:""Programma degli interventi prioritari sulla rete viaria di interesse regionale - Aggiornamento per l'anno 2010.";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO04;Accordo di Programma per la realizzazione della tangenziale nord - est di Varese. Collegamento SS 342-233-344.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO06;Contratto di Programma per gli investimenti alla rete ferroviaria regionale in concessione a FerrovieNord S.P.A. (L.R. N. 11/2009).;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO15;"Bando ""Lombardia Eccellente"": azioni regionali per la promozione dell'eccellenza nello sviluppo del capitale umano.";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO22;"""Progetto Start-up Packages e Programma di PhD"" della Fondazione ""Centro Europeo di Nanomedicina"".";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO07;Convenzione per la realizzazione del collegamento Milano Famagosta - Assago Milanofiori mediante prolungamento della Linea 2 della metropolitana.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO11;Accordo di Programma finalizzato alla ristrutturazione di immobili posti in via Pompeo Leoni - Milano.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO18;Accordo di Programma per la salvaguardia idraulica e la riqualificazione dei corsi dÃÂ¿acqua dellÃÂ¿area metropolitana milanese.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO12;"Accordo di Programma finalizzato alla realizzazione del progetto di riqualificazione economica e sociale ""la cittÃÂ  nella cittÃÂ : un luogo di incontro tra persone"" a Como.";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO29;"""Assistenza tecnica";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO02;"Bando ""Integrazione, ottimizzazione, implementazione delle reti radio per la gestione delle emergenze esistenti sul territorio regionale e della Centrale Interforze di Protezione Civile"".";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO25;"""Acquisto treni per il servizio ferroviario regionale Mendrisio-Varese";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO28;"""Interventi di conservazione, recupero, adeguamento funzionale del complesso monumentale della Villa Reale di Monza";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO14;AdP Realizzazione polo per la formazione e il lavoro dedicato ai settori aeronautico, logistica trasporti come strumento di sviluppo ed innovazione sistema aeroportuale in Comune di Somma Lombardo.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO26;"""Polo universitario di Lodi";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO30;Nuova fermata ferroviaria Rfi Milano Forlanini;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO13;"Accordo di programma per la realizzazione di un intervento di risanamento conservativo e recupero funzionale ad uso scolastico e formativo del complesso""Immacolata""sito nel Comune di Soresina";STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO33;Accordo di Programma per la realizzazione delle opere di valorizzazione del Lago d'Idro;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO34;INTERVENTO REGIONALE A SUPPORTO DELLÃÂ¿INNOVAZIONE E DELLÃÂ¿EFFICIENZA ENERGETICA NELLE IMPRESE-SOSTEGNO AGLI INVESTIMENTI PER LÃÂ¿ACQUISTO DI MACCHINARI/ATTREZZATURE/APPARECCHIATURE;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO35;Realizzazione di servizi abitativi a canone convenzionato ai sensi degli artt. 42,43 e 44 della l.r. n. 27/2009 e s.m.i.;STRUMENTI DI ATTUAZIONE DIRETTA;0;
LO38;Bando ricerca e innovazione. Edizione 2014;STRUMENTI DI ATTUAZIONE DIRETTA;0;
601;"Riparto di fondi in base ad atti di indirizzo concernente ""Riqualificazione dei centri di aggregazione giovanile""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
503;"Bando per l'erogazione di contributi concernente ""Concessione di contributi in conto interessi alle imprese turistiche per la qualificazione delle strutture ricettive""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
506;"Riparto di fondi in base ad atto di indirizzo concernente ""Conservazione e valorizzazione della biodiversitÃÂ  attraverso la valorizzazione delle Aree naturali protette.""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
209;"Bando per l'erogazione di contributi concernente ""Interventi per incremento e stabilizzazione dell'occupazione attraverso il sostegno alla ricerca,creazione e sviluppo di nuove unitÃÂ  produttive";STRUMENTI DI ATTUAZIONE DIRETTA;0;
414;"Riparto di fondi in base ad atto di indirizzo concernente ""Determinazione nuovi criteri per la concessione di contributi per il rinnovo mezzi in servizio TPL""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
603;"Bando per l'erogazione di contributi concernente ""Contributi in conto capitale per l'acquisto di immobili nuovi o per la costruzione, ristrutturazione, adeguamento e riqualificazione delle strutture s";STRUMENTI DI ATTUAZIONE DIRETTA;0;
201;"Accordo di programma quadro regionale (APQR) concernente ""Acquisizione di apparecchiature strumentali per il laboratorio agrochimico regionale dell'ASSAM""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
501;"Procedura negoziata concernente ""Campagna unitaria di marketing e promozione delle Marche""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
401;"Accordo di programma quadro (APQ) concernente ""Dragaggi e sviluppo sostenibile delle aree portuali""";ACCORDO DI PROGRAMMA QUADRO (APQ);0;
602;"Accordo di programma quadro (APQ) concernente ""Cofinanziamento APQ - Giovani Ri-cercatori di senso""";ACCORDO DI PROGRAMMA QUADRO (APQ);0;
605;"Bando ""Acquisto, ristrutturazione, adeguamento strutturale di immobili destinati alle sedi delle Aree vaste territoriali, ex L.R. 17/2011, quali articolazioni dell' Azienda Sanitaria Unica Reg.(ASUR)""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
1003;Acquisizione risorse umane per assistenza tecnica;STRUMENTI DI ATTUAZIONE DIRETTA;0;
415;"APQ ""Acquisto di materiale rotabile ferroviario""";ACCORDO DI PROGRAMMA QUADRO (APQ);0;
411;"Accordo di programma quadro regionale (APQR) concernente ""Parcheggio, nodo di scambio ed attrezzature direzionali Porta S. Lucia Urbino""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
513;"Accordo di programma quadro regionale (APQR) concernente ""Progetto integrato di recupero e valorizzazione dei luoghi della cultura - Polo bibliotecario e delle arti visive""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
511;"Riparto di fondi in base ad atti di indirizzo concernente ""Palcoscenico Marche e Mostra Raffaello""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
504;"Bando per l'erogazione di contributi concernente ""Ammodernamento degli impianti di risalita a fune""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
516;"Accordo di programma quadro regionale (APQR) concernente ""Abitare il centro antico di Jesi: l'asse dei servizi""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
104;Valorizzazione ed ammodernamento delle residenze universitarie;STRUMENTI DI ATTUAZIONE DIRETTA;0;
517;"Accordo di programma quadro regionale (APQR) concernente ""Riqualificazione dell'area urbana al centro della cittÃÂ  di Ancona""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
507;"Accordo di programma quadro regionale (APQR) concernente ""Progetto integrato di recupero e valorizzazione dei luoghi della cultura""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
518;APQ  per interventi urgenti e prioritari per la mitigazione del rischio idrogeologico;STRUMENTI DI ATTUAZIONE DIRETTA;0;
210;"Accordo concernente ""Realizzazione del progetto pilota M-Cloud tra l'Istituto nazionale di fisica nucleare e la Regione Marche""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
302;"Accordo di programma quadro regionale (APQR) concernente ""Attuazione del ciclo integrato dei rifiuti""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
514;"Accordo di programma quadro regionale (APQR) concernente ""Lavori di recupero mura e fonti storiche nel territorio del comune di Loreto""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
502;"Bando per l'acquisizione del servizio concernente ""Campagna unitaria di marketing e promozione delle Marche""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
508;"Accordo di programma quadro regionale (APQR) concernente ""Realizzazione della sede dell'Istituto per le Relazioni con l'Oriente-IRO, a Macerata""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
305;"Accordo di programma quadro regionale (APQR) concernente ""Pulitura degli invasi del fiume Metauro e miglioramento dello stato di qualitÃÂ  delle acque""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
512;"Bando per l'erogazione di contributi concernente ""Museo diffuso - Adeguamento strutture museali""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
204;"Bando per l'acquisizione del servizio concernente ""Implementazione del Sistema Informativo Amministrativo Gestionale Integrato (SIAGI) e manutenzione per i primi 2 anni""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
102;"Accordo di programma quadro regionale (APQR) concernente ""Ampliamento degli spazi destinati alla ricerca universitaria mediante ristrutturazione e riqualificazione della ex casa circondariale di San G";STRUMENTI DI ATTUAZIONE DIRETTA;0;
402;"Accordo di programma quadro regionale (APQR) concernente ""Miglioramento della dotazione infrastrutturale e promozione dello sviluppo dell'Aeroporto di Ancona-Falconara - Aeroporto delle Marche""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
509;"Accordo di programma quadro regionale (APQR) concernente ""Progetto di restauro e valorizzazione del patrimonio culturale per rafforzare l'offerta di sistema regionale. Chiesa di S. Filippo di Macerata";STRUMENTI DI ATTUAZIONE DIRETTA;0;
410;"Accordo di programma quadro regionale (APQR) concernente ""Eliminazione del passaggio a livello sulla SS16 al km 5+606 della tratta ferroviaria Ascoli Piceno - Porto d'Ascoli""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
604;"Bando per l'acquisizione del servizio concernente ""Progettazione relativa alla realizzazione dell'Agenzia nazionale per le problematiche dell'invecchiamento""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
206;"Affidamento a societÃÂ  in house concernente ""Internazionalizzazione a Oriente: Progetto Cina - Padre Matteo Ricci ed interventi per l'internazionalizzazione delle PMI nel mercato cinese""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
203;"Accordo di programma quadro (APQ) concernente ""Sviluppo della banda larga sul territorio della regione""";ACCORDO DI PROGRAMMA QUADRO (APQ);0;
510;"Bando per l'acquisizione del servizio concernente ""Progettazione relativa al recupero e ripristino del complesso monumentale Eremo del Sasso in Valleremita""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
409;"Accordo di programma quadro regionale (APQR) concernente ""Elettrificazione della linea ferroviaria Ascoli Piceno - Porto d'Ascoli""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
407;"Accordo di programma quadro (APQR) concernente ""Realizzazione di una pista ciclabile sul litorale di Pesaro tra viale Trieste e loc. i Gelsi""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
208;"Accordo di programma quadro regionale (APQR) concernente ""Bando per la realizzazione di un Sistema Informativo Sanitario Regionale""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
103;"Bando per l'erogazione di contributi concernenti ""Laboratori didattici nelle scuole per potenziare l'apprendimento di competenze scientifiche""";STRUMENTI DI ATTUAZIONE DIRETTA;0;
515;"Accordo di programma quadro regionale (APQR) concernente ""Restauro, miglioramento sismico e abbattimento barriere architettoniche dell'edificio monumentale 'Palazzetto Baviera' a Senigallia e delle ar";STRUMENTI DI ATTUAZIONE DIRETTA;0;
POFSCCLE24;Tema prioritario_2.4 POA FSC_CLE;STRUMENTI ATTUAZIONE DIRETTA;0;
POFSCRIN21;Tema prioritario_2.1 POA FSC_RIN;STRUMENTI ATTUAZIONE DIRETTA;0;
POFSCSTA22;Tema prioritario_2.2 POA FSC_STA;STRUMENTI ATTUAZIONE DIRETTA;0;
POFSCSTA23;Tema prioritario_2.3 POA FSC_STA;STRUMENTI ATTUAZIONE DIRETTA;0;
POFSCSTA25;Tema prioritario_2.5 POA FSC_STA;STRUMENTI ATTUAZIONE DIRETTA;0;
POFSCPNM25;Tema prioritario_2.5 POA FSC_PNM;STRUMENTI ATTUAZIONE DIRETTA;0;
SASC;Piano straordinario di edilizia scolastica - Iscol@;STRUMENTI DI ATTUAZIONE DIRETTA;0;
SAPS;Delibera CIPE 93/2012 Piano Sulcis;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
PSRA;Piano Stralcio aree metropolitane ed urbane con alto livello di popolazione esposta a rischio di alluvione;STRUMENTI DI ATTUAZIONE DIRETTA;0;
PCDG;Progetti promossi da giovani del privato sociale;STRUMENTI DI ATTUAZIONE DIRETTA;0;
IV;Banda larga;STRUMENTI DI ATTUAZIONE DIRETTA;0;
SOS1;Obiettivo di Servizio n. 1 - Istruzione (Delibere CIPE n. 82 del 3.8.2007 e n. 79 dell'11.7.2012);STRUMENTI DI ATTUAZIONE DIRETTA;0;
AUM1;Interventi urgenti e prioritari di mitigazione del rischio idrogeologico Regione Umbria;ACCORDO DI PROGRAMMA QUADRO (APQ);0;
C000;PNSC - Interventi attuati da Ministero dell'Interno;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C001;PNSC Campania - Piano di intervento dell'Ambito A01 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C002;PNSC Campania - Piano di intervento dell'Ambito A01 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C003;PNSC Campania - Piano di intervento dell'Ambito A02 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C004;PNSC Campania - Piano di intervento dell'Ambito A02 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C005;PNSC Campania - Piano di intervento dell'Ambito A03 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C006;PNSC Campania - Piano di intervento dell'Ambito A03 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C007;PNSC Campania - Piano di intervento dell'Ambito A04 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C008;PNSC Campania - Piano di intervento dell'Ambito A04 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C009;PNSC Campania - Piano di intervento dell'Ambito A05 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C010;PNSC Campania - Piano di intervento dell'Ambito A05 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C011;PNSC Campania - Piano di intervento dell'Ambito A06 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C012;PNSC Campania - Piano di intervento dell'Ambito A06 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C013;PNSC Campania - Piano di intervento dell'Ambito B01 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C014;PNSC Campania - Piano di intervento dell'Ambito B01 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C015;PNSC Campania - Piano di intervento dell'Ambito B02 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C016;PNSC Campania - Piano di intervento dell'Ambito B02 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C017;PNSC Campania - Piano di intervento dell'Ambito B03 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C018;PNSC Campania - Piano di intervento dell'Ambito B03 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C019;PNSC Campania - Piano di intervento dell'Ambito B04 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C020;PNSC Campania - Piano di intervento dell'Ambito B04 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C021;PNSC Campania - Piano di intervento dell'Ambito B05 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C022;PNSC Campania - Piano di intervento dell'Ambito B05 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C023;PNSC Campania - Piano di intervento dell'Ambito C01 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C024;PNSC Campania - Piano di intervento dell'Ambito C01 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C025;PNSC Campania - Piano di intervento dell'Ambito C02 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C026;PNSC Campania - Piano di intervento dell'Ambito C02 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C027;PNSC Campania - Piano di intervento dell'Ambito C03 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C028;PNSC Campania - Piano di intervento dell'Ambito C03 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C029;PNSC Campania - Piano di intervento dell'Ambito C04 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C030;PNSC Campania - Piano di intervento dell'Ambito C04 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C031;PNSC Campania - Piano di intervento dell'Ambito C05 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C032;PNSC Campania - Piano di intervento dell'Ambito C05 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C033;PNSC Campania - Piano di intervento dell'Ambito C06 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C034;PNSC Campania - Piano di intervento dell'Ambito C06 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C036;PNSC Campania - Piano di intervento dell'Ambito C07 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C037;PNSC Campania - Piano di intervento dell'Ambito C08 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C038;PNSC Campania - Piano di intervento dell'Ambito C08 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C039;PNSC Campania - Piano di intervento dell'Ambito C09 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C040;PNSC Campania - Piano di intervento dell'Ambito C09 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C041;PNSC Campania - Piano di intervento dell'Ambito C10 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C042;PNSC Campania - Piano di intervento dell'Ambito C10 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C043;PNSC Campania - Piano di intervento dell'Ambito N01 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C044;PNSC Campania - Piano di intervento dell'Ambito N01 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C045;PNSC Campania - Piano di intervento dell'Ambito N02 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C047;PNSC Campania - Piano di intervento dell'Ambito N03 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C048;PNSC Campania - Piano di intervento dell'Ambito N03 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C049;PNSC Campania - Piano di intervento dell'Ambito N04 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C050;PNSC Campania - Piano di intervento dell'Ambito N04 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C051;PNSC Campania - Piano di intervento dell'Ambito N05 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C052;PNSC Campania - Piano di intervento dell'Ambito N05 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C053;PNSC Campania - Piano di intervento dell'Ambito N06 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C054;PNSC Campania - Piano di intervento dell'Ambito N06 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C055;PNSC Campania - Piano di intervento dell'Ambito N07 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C056;PNSC Campania - Piano di intervento dell'Ambito N07 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C057;PNSC Campania - Piano di intervento dell'Ambito N08 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C058;PNSC Campania - Piano di intervento dell'Ambito N08 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C059;PNSC Campania - Piano di intervento dell'Ambito N09 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C060;PNSC Campania - Piano di intervento dell'Ambito N09 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C061;PNSC Campania - Piano di intervento dell'Ambito N10 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C062;PNSC Campania - Piano di intervento dell'Ambito N10 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C063;PNSC Campania - Piano di intervento dell'Ambito N11 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C064;PNSC Campania - Piano di intervento dell'Ambito N11 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
