COD_PROGETTO_COMPLESSO;DESCRIZIONE_PROGETTO_COMPLESSO;COD_TIPO_COMPLESSITA;DESCR_TIPO_COMPLESSITA;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PC00933STA07;CAB;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00934STA08;TRAIN;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00935STA09;MUSE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00937STA11;LightingSolutions;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00929STA03;SUSGRAPE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00927STA01;TRANSGLIOMA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00947STA21;EDUKA2;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00948STA22;MEMORI-net;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00938STA12;MobiTour;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00943STA17;CONA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00924ATT01;ASSISTENZA TECNICA 01;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01157ATT04;ASSISTENZA TECNICA 04;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01155ATT02;ASSISTENZA TECNICA 02;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01156ATT03;ASSISTENZA TECNICA 03;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01158ATT05;ASSISTENZA TECNICA 05;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01297STR03;SECAP;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01295STR01;NANO-REGION;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01301STR08;GREVISLIM;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01298STR04;CROSSMOBY;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01300STR07;PRIMIS;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01302STR09;VISFRIM;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01299STR06;WALKofPEACE;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01303STR10;CROSSIT SAFER;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01296STR02;DIVA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01400STR04;MerlinCV;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01755STN15;GeoKarst;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01754STN14;FORTIS;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01749STN09;ENGREEN;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01752STN12;GreenHull;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01753STN13;CLEAN BERTH;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01744STN04;IMBI;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01741STN01;CATTEDRA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01750STN10;TRETAMARA;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01742STN02;CONSTRAIN;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01756STN16;NEX AID;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01751STN11;Acquavitis;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01743STN03;DuraSoft;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01746STN06;ISE-EMH;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01745STN05;IMMUNO-CLUSTER;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01747STN07;BEE-DIVERSITY;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01748STN08;ECO-SMART;COOP;COOPERAZIONE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00925ITI01;ISONZO-SOÂ¿A;ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC00926ITI02;SALUTE - ZDRAVSTVO;ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014TC16RFCB036;2014-2020;CTE;INTERREG ITA-SLO;0;
PC01599OMIPORTTA;Piastra portuale di Taranto;OMI;Operazioni multi-intervento;2017PPORTTARFSC;2007-2013;FSC;PIASTRA PORTUALE DI TARANTO;0;
PC015032014IT16RFOP017SUSIPC;Progetto di Innovazione Urbana (PIU) di Poggibonsi e Colle Val dÂ¿Elsa - CITTA'+CITTA';SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015002014IT16RFOP017SUSILU;Progetto di Innovazione Urbana (PIU) di Lucca - Quartieri social_SantÂ¿Anna;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015052014IT16RFOP017SUSIRO;Progetto di Innovazione Urbana (PIU) di Rosignano Marittimo - PIU WAYS;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC014982014IT16RFOP017SUSIPO;Progetto di Innovazione Urbana (PIU) di Prato - PiÃ¹ Prato;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015012014IT16RFOP017SUSIPI;Progetto di Innovazione Urbana (PIU) di Pisa Â¿ 4 (i) Passi nel Futuro;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015022014IT16RFOP017SUSIEM;Progetto di Innovazione Urbana (PIU) di Empoli - HOPE Â¿ Home Of People and Equality;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015042014IT16RFOP017SUSICE;Progetto di Innovazione Urbana (PIU) di Cecina - AllenaMente;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015062014IT16RFOP017SUSIMM;Progetto di Innovazione Urbana (PIU) di Montemurlo e Montale - M+M;SUSI;SVILUPPO URBANO SOSTENIBILE INTEGRATO;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC015082018AREAINTTOSC;"Strategia Aree Interne Regione Toscana - ""Linea Casentino Valtiberina""";SAI;Strategia Aree Interne;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
PC01353BUL;Grande Progetto Banda Ultra Larga;BUL;Sviluppo delle reti a banda ultralarga;2014IT16RFOP017;2014-2020;FESR;POR TOSCANA FESR;0;
53;Occupazione;7;Piano Azione Coesione;2007IT051PO004;2007-2013;FSE;POR CONV FSE BASILICATA;0;
CA001;AmericaÃÂ¿s Cup World Series (ACWS) a Napoli 2012-2013;6;Progetto cointestato;2007IT161PO009;2007-2013;FESR;POR CONV FESR CAMPANIA;0;
PC01273ITI-CAL-PISL-11;11.PISL Â¿Distretti in rete: Energia, Ambiente e Sistemi Produttivi della Bioedilizia, del Legno e dell'Agroalimentare della provincia di Reggio CalabriaÂ¿;ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
PC01274ITI-CAL-PISL-13;"13.PISL ""Monte Poro Serre Vibonesi""";ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
PC01265ITI-CAL-PISL-1;1.PISL Â¿L'anima del territorio e le sue forme: la forza della tradizione nell'era della globalizzazioneÂ¿;ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
PC01272ITI-CAL-PISL-10;"10.PISL Â¿Percorsi produttivi, nuove opportunitÃ  per nuove PMI""";ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
PC01271ITI-CAL-PISL-9;9.PISL Â¿S.I.L.A. Sviluppo Innovazione, Lavoro e AmbienteÂ¿;ITI;INVESTIMENTO INTEGRATO TERRITORIALE;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
PC00741ARIEFP1518/4;OPERATORE DEL LEGNO - SV LEV - IEFP TRIENNALE 2015-18;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00771ARIEFP1518-SV-VALB/1;OPERATORE DELLA RISTORAZIONE - SV VALB - IEFP TRIENNALE 2015-18;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00868AG2016BLUECO/3;SALITE A BORDO - - NUOVE OPPORTUNITA' DI LAVORO NELL'ECONOMIA DEL MARE;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00910ARSV16 - 732/1;"ESSENZIALE ""ESSENZa socIALE"" - Interventi integrati per favorire l'inserimento socio-lavorativo di soggetti a rischio di emarginazione sociale ""AbilitÃ  al Plurale""";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00900ARSP16-732/2;L'operazione Controvento vuole arricchire l'accoglienza turistica basata sulla varietÃ  morfologica e culturale del territorio ,sviluppando forme di accoglienza socialmente responsabile e inclusiva per il viaggiatore e per chi nel territorio trova la sua occasione di inserimento provenendo da situazioni di esclusione sociale.;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00866AG2016BLUECO/1;PORTI E OCCUPAZIONE BLU;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00770ARIEFP1518/33;OPERATORE MECCANICO - GE - IEFP TRIENNALE 2015-18;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00981ARGE16-732/5;DORI - Linea 1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00867AG2016BLUECO/2;BLUE PLATFORM;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00913ARSV16 - 732/3;"ATTIVIAMOCI - LO SPORT E LA CULTURA PER LA PROMOZIONE DELLA CITTADINANZA ATTIVA - Interventi integrati per favorire l'inserimento socio-lavorativo di soggetti a rischio di emarginazione sociale ""AbilitÃ  al Plurale""";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01033ARGE16-732/6;P.U.L.C.E. Per Una LibertÃ  Consapevole ed Emancipata - Linea 2;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01032ARGE16-732/7;F.OR.T.I. - Linea 1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00914ARSV16 - 732/4;"LUOGHI DELL'IMMAGINAZIONE - Interventi integrati per favorire l'inserimento socio-lavorativo di soggetti a rischio di emarginazione sociale ""AbilitÃ  al Plurale""";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00915ARGE16-1046/2;COLLOCHIAMO TIGULLIO - MISURA 1- GE2;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00740ARIEFP1518/3;OPERATORE EDILE - SV LEV - IEFP TRIENNALE 2015-18;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00911ARGE16-1046/3;COLLOCHIAMO GENOVA - MISURA 1 - GE1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00902ARSP16-732/5;"Il progetto tramite l'attivitÃ  teatrale integra disabili con normodotati e risponde all'esigenza del carcere di ""occupare"" il tempo dei detenuti in attivitÃ  dense di significato sociale e culturale. Cerca inoltre di migliorare la qualitÃ  del dialogo tra padri e figli all'interno del carcere.";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00912ARGE16-1046/4;OVER 40 SI PUO' - MISURA 2 - GE 1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00899ARSP16-732/1;L'operazione si pone l'obiettivo di fornire l'integrazione socio - lavorativa di soggetti appartenenti alle aree 1 - 2 - 3 - 4 e 5 attraverso la realizzazione di progetti di sviluppo occupazionale quali creazione di una cooperativa sociale e inserimenti lavorativi nelle imprese partner dell'operazione.;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00916ARSV16 - 732/2;"SAVONA CITTA' DEI PAPI E DELLA SOLIDARIETA' -Interventi integrati per favorire l'inserimento socio-lavorativo di soggetti a rischio di emarginazione sociale ""AbilitÃ  al Plurale""";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00901ARSP16-732/4;"Percorsi legati alla ceramica e alla pittura che verranno proposti da professionisti del settore ed affermati artisti. Le attivitÃ  troveranno il loro coronamento e la ""connessione"" con la cittÃ  attraverso eventi appositamente pensati (mostre, eventi, ecc...)";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00991ARSP16-732/3;"L'operazione intende organizzare occasioni di soggiorni turistici e culturali, attivitÃ  di trekking per adulti e ragazzi con autismo; mira a coinvolgere giovani volotari, coetanei con cui condividere le attivitÃ  ed educatori che avranno il ruolo di facilitatori.";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00869AG2016BLUECO/4;HospItality Resources;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00664AG2015DIS/4;Specialize Your Life;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00870AG2016BLUECO/5;READY TO BOARD;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00874AG2016BLUECO/9;BLUE THINKING PROFESSIONALS;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00872AG2016BLUECO/7;SVILUPPO TURISTICO PER UNA ADEGUATA RICETTIVITA';OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00876AG2016BLUECO/11;BLU SAVONA;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00875AG2016BLUECO/10;Servizi di informazione nel turismo marittimo costiero e di assistenza nel comparto portuale;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00665AG2015DIS/6;Laboratorio Artigianale di Cucina - Percorsi integrati sperimentali;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00877AG2016BLUECO/12;ARCO BLU;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00871AG2016BLUECO/6;WORK IN BLUE;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00873AG2016BLUECO/8;SMART LOGISTIC;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00878AG2016BLUECO/13;MARE LIGUSTICUM - Un mare di opportunitÃ ;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00917ARIM16-1046/1;LAVOR-anta - MISURA 1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00667AG2015DIS/10;Integrazione Individuo-Lavoro: una risorsa per il territorio;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00922ARIM16-1046/3;COLLOCHIAMO IMPERIA - MISURA 1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00992ARSP16-1046/1;"L'operazione intende attivare misure di politica attiva ; le azioni da sviluppare consistono nell'attivazione di percorsi occupazionali a favore dei soggetti over 40.";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00993ARSP16-1046/2;"L'obiettivo dell'operazione Ãš supportare l'utente nella definizione di un progetto professionale ; in tal senso l'ATS metterÃ  in campo la propria capacitÃ  di fare rete per poter svolgere un effetto moltiplicatore sulle occasioni di lavoro per gli utenti presi in carico.";OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00918ARSV16-1046/1;L'ETA' DEL VALORE Percorsi occupazionali per favorire l'inserimento lavorativo delle persone con piÃ¹ di 40 anni di etÃ .;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00921ARSV16-1046/3;LAVOR-ANTA Percorsi occupazionali per favorire l'inserimento lavorativo delle persone con piÃ¹ di 40 anni di etÃ ;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00666AG2015DIS/8;Building Together;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00919ARSV16-1046/4;OVER 40 SI PUO' Percorsi occupazionali per favorire l'inserimento lavorativo delle persone con piÃ¹ di 40 anni di etÃ ;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00920ARSV16-1046/2;COLLOCHIAMO SAVONA Percorsi occupazionali per favorire l'inserimento lavorativo delle persone con piÃ¹ di 40 anni di etÃ ;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00998ARSP16-1046/3;L'operazione intende seguire approcci di tipo multiprofessionale utilizzando gli strumenti disponibili nell'articolazione dell'invito, combinandoli nella realizzazione di percorsi individuali in grado di influire positivamente sul profilo di occupabilitÃ  delle persone che parteciperanno al progetto.;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00908RLLM16DGR876/2;Funzionamento centri per l'impiego;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00909ARGE16-1046/1;L'ETA' DEL VALORE - MISURA 1 - GE1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01001ARIM17-254/1;AFFIDABILITA' E QUALITA' DEL SERVIZIO;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00668AG2015DIS/11;AttivitÃ  per integrazione socio lavorativa - H2.O Energy;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00994ARIM17-254/2;CRESCERE E DIFFERENZIARE;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00996ARIM17-254/4;ORGANIZZAZIONE E GESTIONE DELLE STRUTTURE PER ANZIANI;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00997ARIM17-254/5;AGGIORNAMENTO OPERATORI CAT CENTRI ASSISTENZA TECNICA SETTORE TERMOIDRAULICA;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00999ARIEFP1720-GEMET-RIB/1;OP. AI SERVIZI DI PROMOZIONE E ACCOGLIENZA - GE Metropolitano - IEFP TRIENNALE 2017-20;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01000ARGE16-732/8;ARETE': POSSIBILITA' IN GIOCO - Linea 2;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00669AG2015DIS/12;H2.0 Plus - AttivitÃ  inserimento lavorativo disabili nel MDL - Att professionalizzante individualizzata modulare;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01015AG2016BLUECO/14;BLU OLTREMARE;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01016ARGE17-254/2;Master in progettazione e gestione dei progetti europei - B3;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC01017ARGE17-254/4;UNILanza - B1;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
PC00670AG2015DIS/13;H2.0 PAWer - percorsi integrali sperimentali;OMI;Operazioni multi-intervento;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
