OC_COD_CICLO;OC_DESCR_CICLO;OC_CODICE_PROGRAMMA;OC_DESCRIZIONE_PROGRAMMA;OC_ARTICOLAZIONE_PROGRAMMA;OC_COD_ARTICOLAZ_PROGRAMMA;OC_DESCR_ARTICOLAZ_PROGRAMMA;OC_SUBARTICOLAZIONE_PROGRAMMA;OC_COD_SUBARTICOLAZ_PROGRAMMA;OC_DESCR_SUBARTICOLAZ_PROGRAMMA;QUERY;NOTE
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;1;ASSE 1 - OCCUPAZIONE;OBIETTIVO SPECIFICO;8.7;Migliorare l'efficienza e la qualitÃ  dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP014;POR FSE SICILIA;ASSE;3;ASSE 3 - ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;10.4;Accrescimento delle competenze della forza lavoro;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Favorire l'inserimento lavorativo e l'occupazione;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Aumentare l'occupazione dei giovani;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;1;OCCUPAZIONE;OBIETTIVO SPECIFICO;1;Migliorare l'efficacia e la qualitÃ  dei servizi a;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;2;Incremento dell'occupabilitÃ  e della partecipazio;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;3;Rafforzamento dell'economia sociale;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;1;Aumento/consolidamento/qualificazione dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;1;Riduzione del fallimento formativo precoce e della;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;1;Innalzamento dei livelli di competenze, di parteci;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;3;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;1;Accrescimento delle competenze della forza lavoro;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;4;CAPACITA' ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;1;Aumento della trasparenza e interoperabilitÃ , e d;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;4;CAPACITA' ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;2;Miglioramento delle prestazioni della pubblica amm;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;4;CAPACITA' ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;3;Miglioramento della governance multilivello e dell;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;5;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;1;Sostenere e migliorare l'esecuzione del programma;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP010;POR FSE UMBRIA;ASSE;2;INCLUSIONE SOCIALE E LOTTA ALLA POVERTA';OBIETTIVO SPECIFICO;1;Riduzione della povertÃ , dell'esclusione sociale;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;3;SOSTENERE LA TRANSIZIONE VERSO UN'ECONOMIA A BASSE EMISSIONI;OBIETTIVO SPECIFICO;1;Riduzione dei consumi energetici negli edifici e n;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;5;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;5;Assistenza Tecnica;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;1;RAFFORZARE LA RICERCA, LO SVILUPPO TECNOLOGICO E L'INNOVAZIO;OBIETTIVO SPECIFICO;1;Incremento dell'attivitÃ  di innovazione delle imp;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;2;PROMUOVERE LA COMPETITIVITA'  DELLE PMI;OBIETTIVO SPECIFICO;1;Rilancio della propensione agli investimenti del s;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;2;PROMUOVERE LA COMPETITIVITA'  DELLE PMI;OBIETTIVO SPECIFICO;2;Sviluppo occupazionale e produttivo in aree territ;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;2;PROMUOVERE LA COMPETITIVITA'  DELLE PMI;OBIETTIVO SPECIFICO;5;Nascita e consolidamento delle Micro, Piccole e Me;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;SVILUPPO URBANO;OBIETTIVO SPECIFICO;7;Miglioramento delle condizioni e degli standard di;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;SVILUPPO URBANO;OBIETTIVO SPECIFICO;2;Potenziamento della domanda di ICT di cittadini e;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;SVILUPPO URBANO;OBIETTIVO SPECIFICO;6;Aumento della mobilitÃ  sostenibile nelle aree urb;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;1;RAFFORZARE LA RICERCA, LO SVILUPPO TECNOLOGICO E L'INNOVAZIO;OBIETTIVO SPECIFICO;4;Aumento dell'incidenza di specializzazioni innovat;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP009;POR FESR FRIULI-VENEZIA GIULIA;ASSE;4;SVILUPPO URBANO;OBIETTIVO SPECIFICO;3;Consolidamento, modernizzazione e diversificazione;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;8;Infrastrutture pubbliche, didattiche/universitarie;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;10;Infrastrutture pubbliche, didattiche/universitarie;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;7;Rigenerazione urbana;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;;AZIONE;3;;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;C;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;C.2.1;Innalzamento dei livelli di competenze, di parteci;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;A;OCCUPAZIONE;OBIETTIVO SPECIFICO;A.2.1;Aumentare l'occupazione dei giovani;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;D;CAPACITÃ ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;D.1.2;Miglioramento delle prestazioni della pubblica amm;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;B;INCLUSIONE SOCIALE E LOTTA ALLA POVERTÃ;OBIETTIVO SPECIFICO;B.2.1;Aumento/consolidamento/qualificazione dei servizi;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;E;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;E.1.1;Sostenere l'esecuzione del programma operativo nel;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;A;OCCUPAZIONE;OBIETTIVO SPECIFICO;A.1.1;Ridurre il numero dei disoccupati di lunga durata;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;C;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;C.3.1;Accrescimento delle competenze della forza lavoro;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;C;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;C.3.2;Qualificazione dell'offerta di istruzione e formaz;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;D;CAPACITÃ ISTITUZIONALE E AMMINISTRATIVA;OBIETTIVO SPECIFICO;D.1.1;Aumento della trasparenza e interoperabilitÃ , e d;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;B;INCLUSIONE SOCIALE E LOTTA ALLA POVERTÃ;OBIETTIVO SPECIFICO;B.1.1;Incremento dell'occupabilitÃ  e della partecipazio;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;A;OCCUPAZIONE;OBIETTIVO SPECIFICO;A.4.1;Favorire la permanenza al lavoro e la ricollocazio;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;A;OCCUPAZIONE;OBIETTIVO SPECIFICO;A.3.1;Aumentare l'occupazione femminile;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;C;ISTRUZIONE E FORMAZIONE;OBIETTIVO SPECIFICO;C.3.3;Diffusione della societÃ  della conoscenza nel mon;0;
2;Ciclo di programmazione 2014-2020;2014IT05SFOP015;POR FSE TOSCANA;ASSE;A;OCCUPAZIONE;OBIETTIVO SPECIFICO;A.5.1;Migliorare l'efficacia e la qualitÃ  dei servizi a;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;1;Infrastrutture;AZIONE;1;Infrastrutture di trasporto ferroviario e stradale;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;4;SOSTENERE LA TRANSIZIONE VERSO UN'ECONOMIA A BASSA EMISSIONE;OBIETTIVO SPECIFICO;RA4.1;Riduzione dei consumi energetici negli edifici e n;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;6;URBANO;OBIETTIVO SPECIFICO;RA9.6;Aumento della legalitÃ  nelle aree ad alta esclusi;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;6;URBANO;OBIETTIVO SPECIFICO;RA9.3;Aumento/ consolidamento/ qualificazione dei serviz;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;6;URBANO;OBIETTIVO SPECIFICO;RA4.6;Aumento della mobilitÃ  sostenibile nelle aree urb;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;6;URBANO;OBIETTIVO SPECIFICO;RA4.1;Riduzione dei consumi energetici negli edifici e n;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;1;RAFFORZARE LA RICERCA, LO SVILUPPO TECNOLOGICO E L'INNOVAZIO;OBIETTIVO SPECIFICO;RA1.1;Incremento dell'attivitÃ  di innovazione delle imp;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;3;PROMUOVERE LA COMPETITIVITA' DELLE PMI;OBIETTIVO SPECIFICO;RA3.4;Incremento del livello di internazionalizzazione d;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;4;SOSTENERE LA TRANSIZIONE VERSO UN'ECONOMIA A BASSA EMISSIONE;OBIETTIVO SPECIFICO;RA4.6;Aumento della mobilitÃ  sostenibile nelle aree urb;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;4;SOSTENERE LA TRANSIZIONE VERSO UN'ECONOMIA A BASSA EMISSIONE;OBIETTIVO SPECIFICO;RA4.2;Riduzione dei consumi energetici e delle emissioni;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;5;PRESERVARE E TUTELARE L'AMBIENTE E PROMUOVERE L'USO EFFICIEN;OBIETTIVO SPECIFICO;RA6.7;Miglioramento delle condizioni e degli standard di;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;1;RAFFORZARE LA RICERCA, LO SVILUPPO TECNOLOGICO E L'INNOVAZIO;OBIETTIVO SPECIFICO;RA1.5;Potenziamento della capacitÃ  di sviluppare l'ecce;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;2;MIGLIORARE L'ACCESSO ALLE TECNOLOGIE DELL'INFORMAZIONE E DEL;OBIETTIVO SPECIFICO;RA2.1;Riduzione dei divari digitali nei territori e diff;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;7;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;RAAT;Garantire piÃ¹ elevati livelli di efficienza ed ef;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;1;RAFFORZARE LA RICERCA, LO SVILUPPO TECNOLOGICO E L'INNOVAZIO;OBIETTIVO SPECIFICO;RA1.4;Aumento dell'incidenza di specializzazioni innovat;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;3;PROMUOVERE LA COMPETITIVITA' DELLE PMI;OBIETTIVO SPECIFICO;RA3.5;Nascita e consolidamento delle Micro Piccole e Med;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;3;PROMUOVERE LA COMPETITIVITA' DELLE PMI;OBIETTIVO SPECIFICO;RA3.3;Consolidamento, modernizzazione e diversificazione;0;
2;Ciclo di programmazione 2014-2020;2014IT16RFOP017;POR FESR TOSCANA;ASSE;3;PROMUOVERE LA COMPETITIVITA' DELLE PMI;OBIETTIVO SPECIFICO;RA3.1;Rilancio della propensione agli investimenti del s;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;4;Turismo, cultura e valorizzazione risorse naturali;AZIONE;2;Valorizzazione del patrimonio culturale;0;
1;Ciclo di programmazione 2007-2013;FSCCOMUNI;RISORSE FSC ASSEGNATE AI COMUNI;LINEA;4;Turismo, cultura e valorizzazione risorse naturali;AZIONE;1;Sviluppo del turismo;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;02;Sviluppo innovativo delle imprese;OBIETTIVO SPECIFICO;001;Sostenere il potenziamento e la crescita delle imp;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;05;Assistenza tecnica;OBIETTIVO SPECIFICO;001;Sostenere l'esecuzione del Programma Operativo nel;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;05;Assistenza tecnica;OBIETTIVO SPECIFICO;003;Dare ampia visibilità  al programma con adeguati i;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;04;Valorizzazione qualificazione patrimonio cult. amb.;OBIETTIVO SPECIFICO;001;Valorizzare e promuovere le risorse ambientali e c;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;05;Assistenza tecnica;OBIETTIVO SPECIFICO;002;Effettuare le valutazioni strategiche e/o operativ;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;04;Valorizzazione qualificazione patrimonio cult. amb.;OBIETTIVO SPECIFICO;002;Qualificare ed innovare i servizi e le attività  p;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;03;Qualificazione energetico-ambientale e sviluppo sostenibile;OBIETTIVO SPECIFICO;001;Sostenere la qualificazione ambientale ed energeti;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;01;Ricerca industriale e trasferimento tecnologico;OBIETTIVO SPECIFICO;001;Sviluppare la rete regionale ad alta tecnologia e;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;01;Ricerca industriale e trasferimento tecnologico;OBIETTIVO SPECIFICO;002;Promuovere la nascita e lo sviluppo di nuove impre;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;04;Valorizzazione qualificazione patrimonio cult. amb.;OBIETTIVO SPECIFICO;003;Mantenere il livello di competitività ed attrattiv;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;02;Sviluppo innovativo delle imprese;OBIETTIVO SPECIFICO;002;Mantenere il livello di competitività del sistema;0;
1;Ciclo di programmazione 2007-2013;2007IT162PO002;POR CRO  FESR EMILIA ROMAGNA;ASSE;03;Qualificazione energetico-ambientale e sviluppo sostenibile;OBIETTIVO SPECIFICO;002;Promuovere soluzioni sperimentali di mobilità sost;0;
2;Ciclo di programmazione 2014-2020;2014IT05M2OP002;PON FESR FSE GOVERNANCE E CAPACITA' ISTITUZIONALE;ASSE;3;RAFFORZAMENTO DELLA GOVERNANCE MULTILIVELLO NEI PROGRAMMI DI;OBIETTIVO SPECIFICO;3.1;Miglioramento della governance multilivello e dell;0;
2;Ciclo di programmazione 2014-2020;2017POCGOVERN01;POC GOVERNANCE;ASSE TEMATICO;4;Assistenza;LINEA-AZIONE;1;Assistenza tecnica;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;1;AGENDA DIGITALE METROPOLITANA;OBIETTIVO SPECIFICO;1.1;Digitalizzazione dei processi amministrativi e dif;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP003;PON FESR FSE LEGALITA';ASSE;3;Favorire l'inclusione sociale attraverso il recupero dei pat;OBIETTIVO SPECIFICO;3.1;Incremento della legalitÃ  nelle aree ad alta escl;0;
2;Ciclo di programmazione 2014-2020;2014IT05M2OP002;PON FESR FSE GOVERNANCE E CAPACITA' ISTITUZIONALE;ASSE;4;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;4.2;Rafforzamento dei meccanismi di indirizzo, coordin;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;3;SERVIZI PER L'INCLUSIONE SOCIALE;OBIETTIVO SPECIFICO;3.3;Aumento della legalitÃ  nelle aree ad alta esclusi;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;3;SERVIZI PER L'INCLUSIONE SOCIALE;OBIETTIVO SPECIFICO;3.2;Riduzione della marginalitÃ  estrema e interventi;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;3;SERVIZI PER L'INCLUSIONE SOCIALE;OBIETTIVO SPECIFICO;3.1;Riduzione del numero di famiglie con particolari f;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;2;SOSTENIBILITÃ  DEI SERVIZI PUBBLICI E DELLA MOBILITA'  URBAN;OBIETTIVO SPECIFICO;2.2;Aumento della mobilitÃ  sostenibile nelle aree urb;0;
2;Ciclo di programmazione 2014-2020;2014IT05M2OP002;PON FESR FSE GOVERNANCE E CAPACITA' ISTITUZIONALE;ASSE;1;SVILUPPO DELLA CAPACITA'  AMMINISTRATIVA E ISTITUZIONALE PER;OBIETTIVO SPECIFICO;1.3;Miglioramento delle prestazioni della Pubblica Amm;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;5;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;5.1;Garantire l'efficacia e l'efficienza delle attivit;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;4;INFRASTRUTTURE PER L'INCLUSIONE SOCIALE;OBIETTIVO SPECIFICO;4.1;Riduzione del numero di famiglie con particolari f;0;
2;Ciclo di programmazione 2014-2020;2014IT05M2OP002;PON FESR FSE GOVERNANCE E CAPACITA' ISTITUZIONALE;ASSE;4;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;4.1;Garantire il buon funzionamento di tutte le fasi d;0;
2;Ciclo di programmazione 2014-2020;2017POCGOVERN01;POC GOVERNANCE;ASSE TEMATICO;7;;LINEA-AZIONE;1;;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;5;ASSISTENZA TECNICA;OBIETTIVO SPECIFICO;5.2;Migliorare la qualitÃ  degli investimenti realizza;0;
2;Ciclo di programmazione 2014-2020;2014IT05M2OP002;PON FESR FSE GOVERNANCE E CAPACITA' ISTITUZIONALE;ASSE;1;SVILUPPO DELLA CAPACITA'  AMMINISTRATIVA E ISTITUZIONALE PER;OBIETTIVO SPECIFICO;1.2;Riduzione degli oneri regolatori (RA 11.2);0;
2;Ciclo di programmazione 2014-2020;2014IT05M2OP002;PON FESR FSE GOVERNANCE E CAPACITA' ISTITUZIONALE;ASSE;2;SVILUPPO DELL'EGOVERNMENT, DELL'INTEROPERABILITA'  E SUPPORT;OBIETTIVO SPECIFICO;2.2;Digitalizzazione dei processi amministrativi e dif;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;2;SOSTENIBILITÃ  DEI SERVIZI PUBBLICI E DELLA MOBILITA'  URBAN;OBIETTIVO SPECIFICO;2.1;Riduzione dei consumi energetici negli edifici e n;0;
2;Ciclo di programmazione 2014-2020;2017POCGOVERN01;POC GOVERNANCE;ASSE TEMATICO;8;Rafforzamento della governance delle politiche e dell'attuazione dei programmi di investimento pubbl;LINEA-AZIONE;1;Realizzazione di azioni orizzontali per tutta la p;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP004;PON FESR FSE CITTA' METROPOLITANE;ASSE;4;INFRASTRUTTURE PER L'INCLUSIONE SOCIALE;OBIETTIVO SPECIFICO;4.2;Aumento della legalitÃ  nelle aree ad alta esclusi;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP003;PON FESR FSE LEGALITA';ASSE;1;RAFFORZARE L'AZIONE DELLA PA NEL CONTRASTO ALLA CORRUZIONE E;OBIETTIVO SPECIFICO;1.1;Digitalizzazione dei processi amministrativi e dif;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP003;PON FESR FSE LEGALITA';ASSE;5;MIGLIORARE LE COMPETENZE DELLA PA NEL CONTRASTO ALLA CORRUZI;OBIETTIVO SPECIFICO;11.1;Miglioramento delle prestazioni della pubblica amm;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP003;PON FESR FSE LEGALITA';ASSE;5;MIGLIORARE LE COMPETENZE DELLA PA NEL CONTRASTO ALLA CORRUZI;OBIETTIVO SPECIFICO;11.2;Aumento dei livelli di integritÃ  e di legalitÃ  n;0;
2;Ciclo di programmazione 2014-2020;2014IT16M2OP003;PON FESR FSE LEGALITA';ASSE;2;RAFFORZARE LE CONDIZIONI DI LEGALITA'  DELLE AREE STRATEGICH;OBIETTIVO SPECIFICO;2.1;Consolidamento, modernizzazione e diversificazione;0;
