OC_CODICE_PROGRAMMA;COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PSCLAZIO;LAPT;Aree sensibili: parchi e riserve - Terzo atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAPU;Aree sensibili:parchi e riserve - IV Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAPV;Aree sensibili: parchi e riserve - V Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAQA;Aree sensibili: sviluppo sostenibile promozione della qualitÃ  ambientale;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LAQB;Aree sensibili:sviluppo sostenibile promozione della qualitÃ  ambientale - I Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LARI;Aree sensibili: tutela e gestione integrata delle risorse idriche;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LARX;Reti di viabilita' - Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LARY;Reti di viabilita' - Secondo atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LARZ;Reti di viabilitÃ  - Terzo Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LASE;Stralcio ferrovie: III Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LASF;Stralcio ferrovie;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LASH;Stralcio Ferrovie - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LASI;Secondo Atto Integrativo dellÂ¿Accordo di Programma per lo sviluppo della banda larga sul territorio della Regione Lazio (ex Stralcio Societa' dell'Informazione e Servizi ai Cittadini);ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LASJ;SocietÃ  dell'informazione - I Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LASK;SocietÃ  dell'Informazione - II Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LATA;StralcioÂ Ricerca - Distretto Tecnologico Aerospazio (DTA);ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LATB;Stralcio Ricerca industriale sviluppo precompetitivo PMI;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LATC;Stralcio Ricerca - Distretto tecnologico delle Bioscenze (DTB);ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
PSCLAZIO;LATD;Stralcio Ricerca - Distretto beni culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC LAZIO;0;
FSCCOMUNI;CIPE_9;Delibera CIPE n. 97/2017;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
2014IT05SFOP015;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSE;POR TOSCANA FSE;0;
2014IT05SFOP015;TO2018001;APQ aree interne TOSCANA - Casentino Valtiberina;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSE;POR TOSCANA FSE;0;
2014IT05SFOP015;TO2021001;APQ aree interne TOSCANA - Valdarno, Valdisieve, Mugello e Val Bisenzio;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSE;POR TOSCANA FSE;0;
2014IT05SFOP015;TO202001;APQ aree interne TOSCANA - Garfagnana, Lunigiana, Mediavalle del Serchio, Appennino Pistoiese;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FSE;POR TOSCANA FSE;0;
2014TC16RFCB036;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;CTE;INTERREG ITA-SLO;0;
PSCLAZIO2021;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC LAZIO;0;
2017PPORTTARFSC;01:::3;PROGRAMMA OPERATIVO 2014-2020:::Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;PIASTRA PORTUALE DI TARANTO;0;
2014IT16RFOP017;SDA-1;procedura attuativa regionale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR;POR TOSCANA FESR;0;
2014IT16RFOP017;TO2018001;APQ aree interne TOSCANA - Casentino Valtiberina;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;FESR;POR TOSCANA FESR;0;
FSCCOMUNI;2;PROGRAMMA OPERATIVO 2007-2013;STRUMENTI ATTUAZIONE DIRETTA;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
2014TC16RFCB033;01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;CTE;INTERREG ITA-FRA MARITIME;0;
2018AREAINTFRI;FR2017001;APQ Aree Interne Friuli Venezia Giulia - Alta Carnia;ACCORDO DI PROGRAMMA QUADRO AREE INTERNE;2014-2020;SNAI;SNAI FRIULI-VENEZIA GIULIA;0;
PSCMARCHE;601;"Riparto di fondi in base ad atti di indirizzo concernente ""Riqualificazione dei centri di aggregazione giovanile""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;503;"Bando per l'erogazione di contributi concernente ""Concessione di contributi in conto interessi alle imprese turistiche per la qualificazione delle strutture ricettive""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;506;"Riparto di fondi in base ad atto di indirizzo concernente ""Conservazione e valorizzazione della biodiversitÃ  attraverso la valorizzazione delle Aree naturali protette.""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;209;"Bando per l'erogazione di contributi concernente ""Interventi per incremento e stabilizzazione dell'occupazione attraverso il sostegno alla ricerca,creazione e sviluppo di nuove unitÃ  produttive";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;414;"Riparto di fondi in base ad atto di indirizzo concernente ""Determinazione nuovi criteri per la concessione di contributi per il rinnovo mezzi in servizio TPL""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;603;"Bando per l'erogazione di contributi concernente ""Contributi in conto capitale per l'acquisto di immobili nuovi o per la costruzione, ristrutturazione, adeguamento e riqualificazione delle strutture s";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;201;"Accordo di programma quadro regionale (APQR) concernente ""Acquisizione di apparecchiature strumentali per il laboratorio agrochimico regionale dell'ASSAM""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;501;"Procedura negoziata concernente ""Campagna unitaria di marketing e promozione delle Marche""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;602;"Accordo di programma quadro (APQ) concernente ""Cofinanziamento APQ - Giovani Ri-cercatori di senso""";ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;605;"Bando ""Acquisto, ristrutturazione, adeguamento strutturale di immobili destinati alle sedi delle Aree vaste territoriali, ex L.R. 17/2011, quali articolazioni dell' Azienda Sanitaria Unica Reg.(ASUR)""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;1003;Acquisizione risorse umane per assistenza tecnica;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;415;"APQ ""Acquisto di materiale rotabile ferroviario""";ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;411;"Accordo di programma quadro regionale (APQR) concernente ""Parcheggio, nodo di scambio ed attrezzature direzionali Porta S. Lucia Urbino""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;513;"Accordo di programma quadro regionale (APQR) concernente ""Progetto integrato di recupero e valorizzazione dei luoghi della cultura - Polo bibliotecario e delle arti visive""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;511;"Riparto di fondi in base ad atti di indirizzo concernente ""Palcoscenico Marche e Mostra Raffaello""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;516;"Accordo di programma quadro regionale (APQR) concernente ""Abitare il centro antico di Jesi: l'asse dei servizi""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;517;"Accordo di programma quadro regionale (APQR) concernente ""Riqualificazione dell'area urbana al centro della cittÃ  di Ancona""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;507;"Accordo di programma quadro regionale (APQR) concernente ""Progetto integrato di recupero e valorizzazione dei luoghi della cultura""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;518;APQ  per interventi urgenti e prioritari per la mitigazione del rischio idrogeologico;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;210;"Accordo concernente ""Realizzazione del progetto pilota M-Cloud tra l'Istituto nazionale di fisica nucleare e la Regione Marche""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;302;"Accordo di programma quadro regionale (APQR) concernente ""Attuazione del ciclo integrato dei rifiuti""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;514;"Accordo di programma quadro regionale (APQR) concernente ""Lavori di recupero mura e fonti storiche nel territorio del comune di Loreto""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;502;"Bando per l'acquisizione del servizio concernente ""Campagna unitaria di marketing e promozione delle Marche""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;508;"Accordo di programma quadro regionale (APQR) concernente ""Realizzazione della sede dell'Istituto per le Relazioni con l'Oriente-IRO, a Macerata""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;104;Valorizzazione ed ammodernamento delle residenze universitarie;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;305;"Accordo di programma quadro regionale (APQR) concernente ""Pulitura degli invasi del fiume Metauro e miglioramento dello stato di qualitÃ  delle acque""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;512;"Bando per l'erogazione di contributi concernente ""Museo diffuso - Adeguamento strutture museali""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;204;"Bando per l'acquisizione del servizio concernente ""Implementazione del Sistema Informativo Amministrativo Gestionale Integrato (SIAGI) e manutenzione per i primi 2 anni""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;102;"Accordo di programma quadro regionale (APQR) concernente ""Ampliamento degli spazi destinati alla ricerca universitaria mediante ristrutturazione e riqualificazione della ex casa circondariale di San G";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;401;"Accordo di programma quadro (APQ) concernente ""Dragaggi e sviluppo sostenibile delle aree portuali""";ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;402;"Accordo di programma quadro regionale (APQR) concernente ""Miglioramento della dotazione infrastrutturale e promozione dello sviluppo dell'Aeroporto di Ancona-Falconara - Aeroporto delle Marche""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;509;"Accordo di programma quadro regionale (APQR) concernente ""Progetto di restauro e valorizzazione del patrimonio culturale per rafforzare l'offerta di sistema regionale. Chiesa di S. Filippo di Macerata";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;410;"Accordo di programma quadro regionale (APQR) concernente ""Eliminazione del passaggio a livello sulla SS16 al km 5+606 della tratta ferroviaria Ascoli Piceno - Porto d'Ascoli""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;206;"Affidamento a societÃ  in house concernente ""Internazionalizzazione a Oriente: Progetto Cina - Padre Matteo Ricci ed interventi per l'internazionalizzazione delle PMI nel mercato cinese""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;203;"Accordo di programma quadro (APQ) concernente ""Sviluppo della banda larga sul territorio della regione""";ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;510;"Bando per l'acquisizione del servizio concernente ""Progettazione relativa al recupero e ripristino del complesso monumentale Eremo del Sasso in Valleremita""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;409;"Accordo di programma quadro regionale (APQR) concernente ""Elettrificazione della linea ferroviaria Ascoli Piceno - Porto d'Ascoli""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;504;"Bando per l'erogazione di contributi concernente ""Ammodernamento degli impianti di risalita a fune""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;407;"Accordo di programma quadro (APQR) concernente ""Realizzazione di una pista ciclabile sul litorale di Pesaro tra viale Trieste e loc. i Gelsi""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;103;"Bando per l'erogazione di contributi concernenti ""Laboratori didattici nelle scuole per potenziare l'apprendimento di competenze scientifiche""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;515;"Accordo di programma quadro regionale (APQR) concernente ""Restauro, miglioramento sismico e abbattimento barriere architettoniche dell'edificio monumentale 'Palazzetto Baviera' a Senigallia e delle ar";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;404;"Accordo di programma quadro regionale (APQR) concernente ""Strada delle barche""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;403;"Accordo di programma quadro regionale (APQR) concernente ""Strada interquartieri sita in Pesaro, loc. Muraglia - tratto Via Guerrini - Via Lombroso""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;VE11;Atmosfera ed energia da fonte rinnovabile - Riduzione consumi energetici e efficientamento degli edifici pubblici;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;MO3D;APQ SISTEMA IDRICO E FOGNARIO DEPURATIVO;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;3;Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;11.01 PSC;11.01 STRUTTURE EDUCATIVE E FORMATIVE;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;07.05 PSC;07.05 MOBILITÃ URBANA;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE;PCSA;Interventi di edilizia sanitaria;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC MARCHE;0;
PSCMARCHE2021;PCSA;Interventi di edilizia sanitaria;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC MARCHE;0;
PSCMARCHE2021;78;INTERVENTI SU SISTEMA DI VIABILITA' STRADALE PROVINCIALE;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC MARCHE;0;
2014IT05M2OP002;SAD_GOV01;Strumento attuazione diretta Pon Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON GOVERNANCE;0;
2017POCGOVERN01;SAD_GOV02;Strumento attuazione diretta POC Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;POC;POC GOVERNANCE;0;
2014IT16M2OP004;SAD_MET_CT;Catania - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_MET_TO;Torino - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP003;M2OP003004;SDA - STRUMENTI ATTUAZIONE DIRETTA - PON LegalitÃ ;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON LEGALITA';0;
2014IT16M2OP004;SAD_MET_VE;Venezia - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_MET_BA;Bari - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_MET_ME;Messina - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_MET_FI;Firenze - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT05M2OP002;SAD_DFP03;Strumento attuazione diretta Pon Governance 2014-2020 DFP;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON GOVERNANCE;0;
2014IT16M2OP004;SAD_MET_MI;Milano - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_MET_CA;Cagliari - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_METADG;AdG - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
2014IT16M2OP004;SAD_MET_BO;Bologna - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FESR-FSE;PON METRO;0;
