COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
2;PROGRAMMA OPERATIVO 2007-2013;STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014TC16RFCB033;2014-2020;CTE;INTERREG ITA-FRA MARITIME;0;
;;;2007IT162PO002;2007-2013;FESR;POR CRO FESR EMILIA ROMAGNA;0;
SAD_GOV01;Strumento attuazione diretta Pon Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014IT05M2OP002;2014-2020;FESR-FSE;PON GOVERNANCE;0;
SAD_GOV02;Strumento attuazione diretta POC Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2017POCGOVERN01;2014-2020;POC;POC GOVERNANCE;0;
SAD_MET_CT;Catania - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
M2OP003004;SDA - STRUMENTI ATTUAZIONE DIRETTA - PON LegalitÃ ;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP003;2014-2020;FESR-FSE;PON LEGALITA';0;
SAD_MET_TO;Torino - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_VE;Venezia - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_BA;Bari - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_ME;Messina - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_FI;Firenze - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_DFP03;Strumento attuazione diretta Pon Governance 2014-2020 DFP;STRUMENTI ATTUAZIONE DIRETTA;2014IT05M2OP002;2014-2020;FESR-FSE;PON GOVERNANCE;0;
SAD_MET_MI;Milano - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_CA;Cagliari - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_METADG;AdG - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_BO;Bologna - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_RO;Roma - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_GE;Genova - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_RC;Reggio Calabria - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_NA;Napoli - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MET_PA;Palermo - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP004;2014-2020;FESR-FSE;PON METRO;0;
SAD_MDG04;Strumento attuazione diretta Pon Governance 2014-2020 MDG;STRUMENTI ATTUAZIONE DIRETTA;2014IT05M2OP002;2014-2020;FESR-FSE;PON GOVERNANCE;0;
SAD_GOV01:;Strumento attuazione diretta Pon Governance 2014-2020:::Strumento attuazione diretta POC Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2014IT05M2OP002;2014-2020;FESR-FSE;PON GOVERNANCE;0;
SAD_CTEGOV;Strumento attuazione diretta POC CTE Governance 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2017POCCTE;2014-2020;POC;POC CTE;0;
FSC_CISCAP;Contratto Istituzionale di Sviluppo per la Capitanata - Provincia di Foggia sottoscritto il 18 agoasto 2019 a valer sulla delibera CIPE 26/2019;CONTRATTI ISTITUZIONALI DI SVILUPPO;CISFOGGIAFSC;2014-2020;FSC;CIS FOGGIA;0;
IOG_01;PON Iniziativa Occupazione Giovani;STRUMENTI ATTUAZIONE DIRETTA;2014IT05M9OP001;2014-2020;YEI-FSE;PON INIZIATIVA OCCUPAZIONE GIOVANI;0;
;;;2007IT051PO004;2007-2013;FSE;POR CONV FSE BASILICATA;0;
;;;2007IT052PO009;2007-2013;FSE;POR CRO FSE PA BOLZANO;0;
1;PROGRAMMA OPERATIVO;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT052PO009:::2016BOXXXPAC00;2007-2013;FSE;POR CRO FSE PA BOLZANO:::PROGRAMMA PAC P.A. BOLZANO;0;
;;;2007IT161PO009;2007-2013;FESR;POR CONV FESR CAMPANIA;0;
;;;2007IT051PO001;2007-2013;FSE;POR CONV FSE CAMPANIA;0;
1;PROGRAMMA OPERATIVO;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT161PO009:::2012CAXXXPAC00;2007-2013;FESR;POR CONV FESR CAMPANIA:::PROGRAMMA PAC CAMPANIA;0;
1;PROGRAMMA OPERATIVO;STRUMENTI DI ATTUAZIONE DIRETTA;2012CAXXXPAC00;2007-2013;POC;PAC CAMPANIA;0;
2:::3;PROGRAMMA OPERATIVO 2007-2013:::Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
01:::C;PROGRAMMA OPERATIVO 2014-2020:::Delibera CIPE n.57/2016;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;FSCCOMUNI;2007-2013;FSC;RISORSE FSC ASSEGNATE AI COMUNI;0;
;;;2007IT051PO002;2007-2013;FSE;POR CONV FSE CALABRIA;0;
;;;2007IT161PO008;2007-2013;FESR;POR CONV FESR CALABRIA;0;
CC09;Caratterizzazione e bonifica dei siti inquinati;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CC10;Depurazione delle acque;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CCMT;Piano degli Interventi per la sistemazione idrogeologica ed idraulica degli alvei;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CCKR;Valorizzazione area archeologica antica Kroton;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
PAC;Programma PAC;STRUMENTI DI ATTUAZIONE DIRETTA;2012CLXXXPAC00;2007-2013;POC;PAC CALABRIA;0;
1;PROGRAMMA OPERATIVO;STRUMENTI DI ATTUAZIONE DIRETTA;2012CLXXXPAC00;2007-2013;POC;PAC CALABRIA;0;
CC02;Infrastrutture strategiche per il settore stradale;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CCIN;Delibera CIPE 89/2012 - Infrastrutture;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CC08;Sistema universitario;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CCFV;Attuazione Delibera CIPE 8/2012 - Frane e Versanti;STRUMENTI DI ATTUAZIONE DIRETTA;2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
OSCL;Programma Obiettivi di Servizio - Regione Calabria;STRUMENTI DI ATTUAZIONE DIRETTA;2007IT001FAOS6;2007-2013;FSC;ODS CALABRIA;0;
01;PROGRAMMA OPERATIVO 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
CCSA;I Atto integrativo all'APQ Piano degli interventi per la sistemazione idrogeologica ed idraulica degli alvei;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CC05;Schemi Idrici e acquedotti;ACCORDO DI PROGRAMMA QUADRO (APQ);2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
01:::FESRC;PROGRAMMA OPERATIVO 2014-2020:::POR Calabria FESR 2007-2013;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
FESRCL2007;POR Calabria FESR 2007-2013;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
CAL1;Stumento Attuativo PRA FSC Calabria;STRUMENTI DI ATTUAZIONE DIRETTA;2007CL001FA008;2007-2013;FSC;PRA CALABRIA;0;
CCFV;Attuazione Delibera CIPE 8/2012 - Frane e Versanti;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
01:::CCFV;PROGRAMMA OPERATIVO 2014-2020:::Attuazione Delibera CIPE 8/2012 - Frane e Versanti;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
CCEC;Difesa del suolo - Erosione delle Coste;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
01:::CALAB;PROGRAMMA OPERATIVO 2014-2020:::PATTO PER LA CALABRIA;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
CALABRIA1;PATTO PER LA CALABRIA;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
IPR;Interventi programmazione regionale;STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
01:::IPR;PROGRAMMA OPERATIVO 2014-2020:::Interventi programmazione regionale;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2014IT16M2OP006;2014-2020;FESR-FSE;POR CALABRIA FESR-FSE;0;
PACCAL1420;Programma di azione e coesione 2014-2020. Programma complementare Regione Calabria;STRUMENTI ATTUAZIONE DIRETTA;2017POCCALABR1;2014-2020;POC;POC CALABRIA;0;
CALABRIA1:;PATTO PER LA CALABRIA:::Programma di azione e coesione 2014-2020. Programma complementare Regione Calabria;STRUMENTI ATTUAZIONE DIRETTA:::STRUMENTI ATTUAZIONE DIRETTA;2017POCCALABR1;2014-2020;POC;POC CALABRIA;0;
PATTOMIL;PATTO PER LA CITTA' DI MILANO;STRUMENTI ATTUAZIONE DIRETTA;2016PATTIMIL;2014-2020;FSC;PATTO MILANO;0;
3;Piano Operativo FSC 2014-2020;STRUMENTI ATTUAZIONE DIRETTA;2018MATERAFSC;2014-2020;FSC;MATERA CAPITALE DELLA CULTURA 2019;0;
SAD_MET_RC;Reggio Calabria - Piano Operativo - PON Metro - Strumento attuazione diretta;STRUMENTI ATTUAZIONE DIRETTA;2016PATTIRC;2014-2020;FSC;PATTO REGGIO CALABRIA;0;
PROG_CSBT;PROGRAMMA DI MISURE PER LA BONIFICA, AMBIENTALIZZAZIONE E RIQUALIFICAZIONE DI TARANTO - CIS TARANTO (art. 6 L. 20/2015);CONTRATTI ISTITUZIONALI DI SVILUPPO;COMMTARANTOFSC;2014-2020;FSC;CIS AREA DI TARANTO;0;
;;;2007IT052PO002;2007-2013;FSE;POR CRO FSE EMILIA ROMAGNA;0;
;;;2007IT052PO003;2007-2013;FSE;POR CRO FSE FRIULI VENEZIA GIULIA;0;
PAC;Programma PAC;STRUMENTI DI ATTUAZIONE DIRETTA;2013FVGXXPAC00;2007-2013;POC;PAC FRIULI VENEZIA GIULIA;0;
;;;2007IT052PO004;2007-2013;FSE;POR CRO FSE LAZIO;0;
RL;2014IT05SFOP006  - POR Liguria FSE;STRUMENTI ATTUAZIONE DIRETTA;2014IT05SFOP006;2014-2020;FSE;POR LIGURIA FSE;0;
;;;2007IT052PO005;2007-2013;FSE;POR CRO FSE LIGURIA;0;
;;;2007IT052PO006;2007-2013;FSE;POR CRO FSE LOMBARDIA;0;
;;;2007IT162PO006;2007-2013;FESR;POR CRO FESR LOMBARDIA;0;
LO05;Convenzione per l'acquisto e la gestione di materiale rotabile per il servizio ferroviario regionale.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO08;"Convenzione per la valorizzazione dei beni culturali attraverso la realizzazione di attivitÃÂ  di spettacolo - progetto triennale 2007-2009 ""Oltre il Palcoscenico - Next 2009"".";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO10;APQ Interregionale per la realizzazione della residenza universitaria e della scuola primaria nella cittÃÂ  di L'Aquila.;ACCORDO DI PROGRAMMA QUADRO (APQ);2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO09;"Convenzione per la realizzazione della manifestazione ""Music Across"".";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO16;"Avviso Contributi ""Ammodernamento dotazioni laboratoriali Ist. formative iscritte Sezione A Albo reg.  operatori accreditati Servizi IFP"" e Ist. Tec. Prof. statali che erogano percorsi di IFP IIÃÂ° c";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO17;"Invito Presentazione progetti di recupero immobili da destinare a Ostelli in attuazione Programma reg. ""Nuova generazione di idee"". Le politiche e le linee di intervento per giovani Reg. Lombardia.";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO01;"APQ Interregionale per la realizzazione di un call center cd ""laico""per la sperimentazione del NUE 112 presso le centrali operative del servizio sanitario emergenza urgenza di Varese,Ravenna e Palermo";ACCORDO DI PROGRAMMA QUADRO (APQ);2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO03;"Delibera di Giunta regionale:""Programma degli interventi prioritari sulla rete viaria di interesse regionale - Aggiornamento per l'anno 2010.";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO04;Accordo di Programma per la realizzazione della tangenziale nord - est di Varese. Collegamento SS 342-233-344.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO06;Contratto di Programma per gli investimenti alla rete ferroviaria regionale in concessione a FerrovieNord S.P.A. (L.R. N. 11/2009).;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO15;"Bando ""Lombardia Eccellente"": azioni regionali per la promozione dell'eccellenza nello sviluppo del capitale umano.";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO22;"""Progetto Start-up Packages e Programma di PhD"" della Fondazione ""Centro Europeo di Nanomedicina"".";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO07;Convenzione per la realizzazione del collegamento Milano Famagosta - Assago Milanofiori mediante prolungamento della Linea 2 della metropolitana.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO11;Accordo di Programma finalizzato alla ristrutturazione di immobili posti in via Pompeo Leoni - Milano.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO18;Accordo di Programma per la salvaguardia idraulica e la riqualificazione dei corsi dÃÂ¿acqua dellÃÂ¿area metropolitana milanese.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO12;"Accordo di Programma finalizzato alla realizzazione del progetto di riqualificazione economica e sociale ""la cittÃÂ  nella cittÃÂ : un luogo di incontro tra persone"" a Como.";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO29;"""Assistenza tecnica";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO02;"Bando ""Integrazione, ottimizzazione, implementazione delle reti radio per la gestione delle emergenze esistenti sul territorio regionale e della Centrale Interforze di Protezione Civile"".";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO25;"""Acquisto treni per il servizio ferroviario regionale Mendrisio-Varese";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO28;"""Interventi di conservazione, recupero, adeguamento funzionale del complesso monumentale della Villa Reale di Monza";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO14;AdP Realizzazione polo per la formazione e il lavoro dedicato ai settori aeronautico, logistica trasporti come strumento di sviluppo ed innovazione sistema aeroportuale in Comune di Somma Lombardo.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO26;"""Polo universitario di Lodi";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO30;Nuova fermata ferroviaria Rfi Milano Forlanini;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO13;"Accordo di programma per la realizzazione di un intervento di risanamento conservativo e recupero funzionale ad uso scolastico e formativo del complesso""Immacolata""sito nel Comune di Soresina";STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO33;Accordo di Programma per la realizzazione delle opere di valorizzazione del Lago d'Idro;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO34;INTERVENTO REGIONALE A SUPPORTO DELLÃÂ¿INNOVAZIONE E DELLÃÂ¿EFFICIENZA ENERGETICA NELLE IMPRESE-SOSTEGNO AGLI INVESTIMENTI PER LÃÂ¿ACQUISTO DI MACCHINARI/ATTREZZATURE/APPARECCHIATURE;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO35;Realizzazione di servizi abitativi a canone convenzionato ai sensi degli artt. 42,43 e 44 della l.r. n. 27/2009 e s.m.i.;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
LO38;Bando ricerca e innovazione. Edizione 2014;STRUMENTI DI ATTUAZIONE DIRETTA;2007LO002FA006;2007-2013;FSC;PAR FSC LOMBARDIA;0;
601;"Riparto di fondi in base ad atti di indirizzo concernente ""Riqualificazione dei centri di aggregazione giovanile""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
503;"Bando per l'erogazione di contributi concernente ""Concessione di contributi in conto interessi alle imprese turistiche per la qualificazione delle strutture ricettive""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
506;"Riparto di fondi in base ad atto di indirizzo concernente ""Conservazione e valorizzazione della biodiversitÃÂ  attraverso la valorizzazione delle Aree naturali protette.""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
;;;2007IT162PO007;2007-2013;FESR;POR CRO FESR MARCHE;0;
209;"Bando per l'erogazione di contributi concernente ""Interventi per incremento e stabilizzazione dell'occupazione attraverso il sostegno alla ricerca,creazione e sviluppo di nuove unitÃÂ  produttive";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
414;"Riparto di fondi in base ad atto di indirizzo concernente ""Determinazione nuovi criteri per la concessione di contributi per il rinnovo mezzi in servizio TPL""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
603;"Bando per l'erogazione di contributi concernente ""Contributi in conto capitale per l'acquisto di immobili nuovi o per la costruzione, ristrutturazione, adeguamento e riqualificazione delle strutture s";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
201;"Accordo di programma quadro regionale (APQR) concernente ""Acquisizione di apparecchiature strumentali per il laboratorio agrochimico regionale dell'ASSAM""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
501;"Procedura negoziata concernente ""Campagna unitaria di marketing e promozione delle Marche""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
401;"Accordo di programma quadro (APQ) concernente ""Dragaggi e sviluppo sostenibile delle aree portuali""";ACCORDO DI PROGRAMMA QUADRO (APQ);2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
602;"Accordo di programma quadro (APQ) concernente ""Cofinanziamento APQ - Giovani Ri-cercatori di senso""";ACCORDO DI PROGRAMMA QUADRO (APQ);2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
605;"Bando ""Acquisto, ristrutturazione, adeguamento strutturale di immobili destinati alle sedi delle Aree vaste territoriali, ex L.R. 17/2011, quali articolazioni dell' Azienda Sanitaria Unica Reg.(ASUR)""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
1003;Acquisizione risorse umane per assistenza tecnica;STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
415;"APQ ""Acquisto di materiale rotabile ferroviario""";ACCORDO DI PROGRAMMA QUADRO (APQ);2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
411;"Accordo di programma quadro regionale (APQR) concernente ""Parcheggio, nodo di scambio ed attrezzature direzionali Porta S. Lucia Urbino""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
513;"Accordo di programma quadro regionale (APQR) concernente ""Progetto integrato di recupero e valorizzazione dei luoghi della cultura - Polo bibliotecario e delle arti visive""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
511;"Riparto di fondi in base ad atti di indirizzo concernente ""Palcoscenico Marche e Mostra Raffaello""";STRUMENTI DI ATTUAZIONE DIRETTA;2007MA002FA007;2007-2013;FSC;PAR FSC MARCHE;0;
